Q4 2018,BMW,Daimler,Ford,GM,Honda,Hyundai,Nissan,Tesla,Volkswagen,Toyota
Q4 2018,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q1 2019,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q2 2019,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q3 2019,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q4 2019,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q1 2020,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q2 2020,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q3 2020,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q4 2020,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q1 2021,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q2 2021,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q3 2021,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q4 2021,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
Q1 2022,8%,7%,9%,8%,8%,8%,8%,8%,8%,8%
