```csv
Time Period,Net cash provided by (used in) operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income (loss) attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
3Q-2018,1391,-510,881,311,175,17,503,205,1211,1039
4Q-2018,1235,-325,910,140,175,22,497,205,1039,1083
1Q-2019,-640,-280,-920,-702,158,23,468,208,155,155
2Q-2019,864,-250,614,-408,172,19,579,210,572,572
3Q-2019,756,-385,371,143,185,26,530,281,1083,1083
4Q-2019,1425,-412,-895,105,170,42,577,281,1175,1175
1Q-2020,-440,-455,-1395,16,169,2,553,211,951,951
2Q-2020,-546,-546,-1868,104,170,21,567,347,1209,1209
3Q-2020,964,-1005,1868,331,163,83,584,618,1807,1807
4Q-2020,2400,-1151,293,270,246,83,618,621,1850,1850
1Q-2021,3019,-1348,293,438,99,69,621,681,1841,1841
2Q-2021,1641,-1505,619,1142,75,115,681,761,2487,2487
3Q-2021,2124,-1819,1328,1618,126,223,761,848,3203,3203
4Q-2021,3147,-1810,2775,2321,71,292,848,558,4090,4090
1Q-2022,3995,-1767,2228,3318,61,346,880,418,5023,5023
```
