```csv
Time Period,Net cash provided by (used in) operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income (loss) attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
"4Q-2018",1235,-325,910,140,175,22,497,205,1039,155
"1Q-2019",-640,-280,-920,-702,158,23,468,208,155,155
"2Q-2019",864,-250,614,-408,172,19,579,210,572,572
"3Q-2019",756,-385,371,143,185,26,530,199,1083,1083
"4Q-2019",1425,-412,1013,143,170,42,577,281,1175,1175
"1Q-2020",-440,-455,-895,105,169,2,553,211,951,951
"2Q-2020",-546,-1005,418,104,170,21,567,347,1209,1209
"3Q-2020",964,-1151,1395,331,163,186,584,543,1807,1807
"4Q-2020",2400,-1348,1868,270,246,83,618,614,1850,1850
"1Q-2021",3019,-1505,293,438,99,69,621,614,1841,1841
"2Q-2021",1641,-1819,619,1142,75,69,681,614,2487,2487
"3Q-2021",2124,-1810,1328,1618,126,115,761,614,3203,3203
"4Q-2021",3147,-1767,2775,2321,71,223,848,474,4090,4090
"1Q-2022",4585,-1730,2228,3318,61,346,880,558,5023,5023
"2Q-2022",3995,-1730,621,2259,44,205,922,361,3791,3791
```
