```csv
Time Period,Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM,Free cash flow - TTM (non-GAAP),Net (loss) income attributable to common stockholders - TTM (GAAP),Interest expense - TTM,Provision for income taxes - TTM,Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Adjusted EBITDA - TTM (non-GAAP)
"1Q-2020",2605,-1502,1103,-144,696,89,2239,901,3781
"2Q-2020",2705,-1798,907,368,694,91,2227,1038,4418
"3Q-2020",4349,-2418,1931,556,672,251,2281,1382,5142
"4Q-2020",5943,-3157,2786,721,748,292,2322,1734,5817
"1Q-2021",8024,-5009,3974,1143,678,359,2390,2137,6707
"2Q-2021",9184,-5823,4175,2181,583,453,2504,2264,7985
"3Q-2021",9931,-6482,4108,3468,546,490,2681,2196,9381
"4Q-2021",11497,-6901,5015,5519,371,490,2911,2121,11621
"1Q-2022",13851,-7126,6950,8399,333,699,3170,1925,14803
"2Q-2022",14078,-7158,6952,9516,302,976,3411,1812,16107
"3Q-2022",16031,-7110,8921,11190,229,1066,3606,1699,17872
"4Q-2022",14724,-7158,7566,12556,191,1132,3747,1560,19186
```
