```csv
Time Period,Net cash provided by (used in) operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
3Q-2019,756,-385,371,143,185,26,530,199,1083
4Q-2019,1425,-412,1013,105,170,42,577,281,1175
1Q-2020,-440,-455,-895,16,169,2,553,211,951
2Q-2020,964,-546,418,104,170,21,567,347,1209
3Q-2020,2400,-1005,1395,331,163,186,584,543,1807
4Q-2020,3019,-1151,1868,270,246,83,618,633,1850
1Q-2021,1641,-1348,293,438,99,69,621,614,1841
2Q-2021,2124,-1505,619,1142,75,115,681,474,2487
3Q-2021,3147,-1819,1328,1618,126,223,761,848,3203
4Q-2021,4585,-1767,2775,2321,71,292,848,558,4090
1Q-2022,3995,-1730,2228,3318,61,346,880,418,5023
2Q-2022,2351,-1803,621,2259,44,205,922,362,3791
3Q-2022,5100,-1858,3297,3292,53,305,956,362,4968
4Q-2022,3278,-2072,1420,3687,33,276,989,419,5404
1Q-2023,2513,-2072,441,2513,29,261,1046,418,4267
```
