```csv
Time Period,Net cash (used in) provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
"1Q-2020",440,455,895,16,169,2,553,211,951,1209
"2Q-2020",964,546,418,104,170,21,567,347,1209,1807
"3Q-2020",2400,1005,1395,331,163,186,584,543,1807,1850
"4Q-2020",3019,1151,1868,270,246,83,618,633,1850,1841
"1Q-2021",1641,1348,293,438,99,69,621,614,1841,2487
"2Q-2021",2124,1505,619,1142,75,115,681,474,2487,3203
"3Q-2021",3147,1819,1328,1618,126,223,761,558,3203,4090
"4Q-2021",4585,1767,2775,2321,71,292,848,880,4090,5023
"1Q-2022",3995,1730,2228,3318,61,292,880,922,5023,3791
"2Q-2022",2351,1803,621,2259,44,292,922,956,3791,4968
"3Q-2022",5100,1858,3297,3292,53,346,956,989,4968,5404
"4Q-2022",3278,2072,1420,3687,29,305,989,1046,5404,4267
"1Q-2023",2513,2060,441,2513,33,261,1046,1154,4267,4653
"2Q-2023",3065,2460,1005,2703,28,323,1154,1235,4653,3758
"3Q-2023",3308,-,848,1853,38,167,1235,465,3758,-
```
