```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for (benefit from) income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
2Q-2020,964,-546,418,104,170,21,567,347,1209,1807
3Q-2020,2400,-1005,1395,331,163,186,584,543,1807,1850
4Q-2020,3019,-1151,1868,270,246,83,618,633,1850,1841
1Q-2021,1641,-1348,293,438,99,69,621,614,1841,1841
2Q-2021,2124,-1505,619,1142,75,115,681,474,2487,3203
3Q-2021,3147,-1819,1328,1618,126,223,848,475,3203,4090
4Q-2021,4585,-1767,2775,2321,71,292,880,558,4090,5023
1Q-2022,3995,-1730,621,3318,61,346,922,418,5023,3791
2Q-2022,2351,-1803,1420,2259,44,205,956,362,4968,4968
3Q-2022,5100,-1858,3297,3292,53,305,989,419,5404,4267
4Q-2022,3278,-2072,1420,3687,33,276,989,418,5404,3758
1Q-2023,2513,-2060,441,2513,29,261,1046,418,4267,4653
2Q-2023,3065,-2460,1005,2703,28,323,1154,445,4653,3953
3Q-2023,3308,-2306,848,1853,38,167,1235,465,3953,3758
4Q-2023,4370,-2306,2064,7928,61,-5752,1232,484,3953,3953
```
