```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for (benefit from) income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
"3Q-2020",2400,-1005,1395,331,163,186,584,543,1807,1807
"4Q-2020",3019,-1151,1868,270,246,83,618,633,1850,1850
"1Q-2021",1641,-1348,293,438,99,69,621,614,1841,1841
"2Q-2021",2124,-1505,619,1142,75,115,681,474,2487,2487
"3Q-2021",3147,-1819,1328,1618,126,223,761,475,3203,3203
"4Q-2021",4585,-1810,2775,2321,71,292,848,558,4090,4090
"1Q-2022",3995,-1767,2228,2259,61,346,880,418,5023,5023
"2Q-2022",2351,-1730,621,2792,44,205,922,361,3791,3791
"3Q-2022",5100,-1803,3297,3292,33,276,956,362,4968,4968
"4Q-2022",3278,-2072,1420,3687,29,261,989,419,5404,5404
"1Q-2023",2513,-2060,441,2513,445,261,1046,418,4267,4267
"2Q-2023",3065,-2460,1005,2703,38,323,1154,445,4653,4653
"3Q-2023",3308,-2306,848,1853,38,167,1235,465,3758,3758
"4Q-2023",4370,-2531,2064,7928,61,-5752,1232,484,3953,3953
"1Q-2024",242,-2773,-2531,1129,76,409,1246,524,3384,3384
```
