Q2 2018,US/Canada,0.4%
Q3 2018,US/Canada,0.9%
Q4 2018,US/Canada,1.1%
Q1 2019,US/Canada,1.2%
Q2 2019,US/Canada,1.1%
Q3 2019,US/Canada,1.1%
Q4 2019,US/Canada,1.0%
Q1 2020,US/Canada,1.1%
Q2 2020,US/Canada,1.1%
Q3 2020,US/Canada,1.1%
Q4 2020,US/Canada,1.1%
Q1 2021,US/Canada,1.5%
Q2 2021,US/Canada,1.7%
Q3 2021,US/Canada,2.0%
Q4 2021,US/Canada,2.7%
Q1 2022,US/Canada,3.1%
Q2 2022,US/Canada,3.3%
Q3 2022,US/Canada,3.7%
Q4 2022,US/Canada,3.9%
Q1 2023,US/Canada,4.0%
Q2 2023,US/Canada,4.0%
Q3 2023,US/Canada,4.0%
Q4 2023,US/Canada,3.7%
Q1 2024,US/Canada,3.5%

Q2 2018,Europe,0.2%
Q3 2018,Europe,0.3%
Q4 2018,Europe,0.4%
Q1 2019,Europe,0.6%
Q2 2019,Europe,0.7%
Q3 2019,Europe,0.8%
Q4 2019,Europe,0.8%
Q1 2020,Europe,0.8%
Q2 2020,Europe,0.8%
Q3 2020,Europe,0.8%
Q4 2020,Europe,0.8%
Q1 2021,Europe,0.9%
Q2 2021,Europe,1.0%
Q3 2021,Europe,1.0%
Q4 2021,Europe,1.0%
Q1 2022,Europe,1.1%
Q2 2022,Europe,1.4%
Q3 2022,Europe,1.6%
Q4 2022,Europe,1.8%
Q1 2023,Europe,2.0%
Q2 2023,Europe,2.3%
Q3 2023,Europe,2.6%
Q4 2023,Europe,2.7%
Q1 2024,Europe,2.6%

Q2 2018,China,0.1%
Q3 2018,China,0.1%
Q4 2018,China,0.1%
Q1 2019,China,0.2%
Q2 2019,China,0.3%
Q3 2019,China,0.4%
Q4 2019,China,0.5%
Q1 2020,China,0.6%
Q2 2020,China,0.7%
Q3 2020,China,0.8%
Q4 2020,China,0.9%
Q1 2021,China,1.0%
Q2 2021,China,1.1%
Q3 2021,China,1.2%
Q4 2021,China,1.3%
Q1 2022,China,1.4%
Q2 2022,China,1.6%
Q3 2022,China,1.8%
Q4 2022,China,1.9%
Q1 2023,China,2.0%
Q2 2023,China,2.2%
Q3 2023,China,2.4%
Q4 2023,China,2.5%
Q1 2024,China,2.4%
