```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for (benefit from) income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
1Q-2021,1641,-1348,293,438,99,69,621,614,1841,2487
2Q-2021,2124,-1505,619,1142,75,115,681,474,2487,3203
3Q-2021,3147,-1819,1328,1618,126,223,761,475,3203,4090
4Q-2021,4585,-1810,2775,2321,71,292,848,558,4090,5023
1Q-2022,3995,-1767,621,3318,61,346,880,418,5023,3791
2Q-2022,2351,-1803,3297,2259,44,205,922,361,3791,4968
3Q-2022,5100,-1858,1420,3292,53,305,956,419,4968,5404
4Q-2022,3278,-2072,441,3292,33,276,989,445,4968,4267
1Q-2023,3065,-2060,1005,3687,29,261,1046,465,4267,4653
2Q-2023,2513,-2306,848,2513,28,323,1154,484,4653,3758
3Q-2023,3308,-2460,2064,1853,38,167,1235,484,3758,3953
4Q-2023,4370,-2773,2531,7928,61,-5752,1232,524,3953,3384
1Q-2024,242,-2270,-2531,1129,76,409,1246,524,3384,3674
2Q-2024,3612,-2770,-2531,1478,86,393,1278,439,3674,4665
3Q-2024,6255,-3513,-2742,2167,92,601,1348,457,4665,
```
