Q3,$2.7B,GAAP operating income in Q3
Q3,$2.2B,GAAP net income in Q3
Q3,$2.5B,non-GAAP net income in Q3
Q3,$6.3B,Operating cash flow of $6.3B in Q3
Q3,$2.7B,Free cash flow of $2.7B in Q3
Q3,$2.9B,$2.9B increase in our cash and investments in Q3 to $33.6B
Q3,over 75%,Increased AI training compute by over 75% in Q3
Q3,third,became the third best-selling EV in Q3 in the U.S.
Q3,Model Y and Model 3,behind only Model Y and Model 3)
Q3,Over two billion miles,Over two billion miles driven cumulatively on FSD (Supervised) as of Q3 with more than 50% on V12
