Q1 2019,US/Canada,Europe,China
Q2 2019,1.1%,0.3%,0.1%
Q3 2019,1.2%,0.7%,0.2%
Q4 2019,1.0%,0.8%,0.3%
Q1 2020,1.2%,0.9%,0.4%
Q2 2020,1.3%,1.0%,0.5%
Q3 2020,1.4%,1.1%,0.6%
Q4 2020,1.5%,1.2%,0.7%
Q1 2021,1.6%,1.3%,0.8%
Q2 2021,1.7%,1.4%,0.9%
Q3 2021,1.8%,1.5%,1.0%
Q4 2021,1.9%,1.6%,1.1%
Q1 2022,2.0%,1.7%,1.2%
Q2 2022,2.1%,1.8%,1.3%
Q3 2022,2.2%,1.9%,1.4%
Q4 2022,2.3%,2.0%,1.5%
Q1 2023,2.4%,2.1%,1.6%
Q2 2023,2.5%,2.2%,1.7%
Q3 2023,2.6%,2.3%,1.8%
Q4 2023,2.7%,2.4%,1.9%
Q1 2024,2.8%,2.5%,2.0%
Q2 2024,2.9%,2.6%,2.1%
Q3 2024,3.0%,2.7%,2.2%
Q4 2024,3.1%,2.8%,2.3%
