```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for (benefit from) income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
2Q-2021,2124,-1505,619,1142,75,115,681,474,2487,3203
3Q-2021,3147,-1819,1328,1618,126,223,761,475,475,3203
4Q-2021,4585,-1810,2775,2321,71,292,848,558,558,4090
1Q-2022,3995,-1767,2228,3318,61,346,880,418,418,5023
2Q-2022,2351,-1730,621,2259,44,205,922,361,361,3791
3Q-2022,5100,-1858,3297,3292,53,305,956,419,419,4968
4Q-2022,3278,-2072,1420,3687,33,276,989,418,418,5404
1Q-2023,2513,-2060,441,2513,29,261,1046,418,418,4267
2Q-2023,3065,-2460,1005,2703,28,323,1154,445,445,4653
3Q-2023,3308,-2306,848,1853,38,167,1235,465,465,3758
4Q-2023,3370,-2773,2064,7928,61,-5752,1232,484,484,3953
1Q-2024,242,-2270,-2531,1129,76,409,1246,524,524,3384
2Q-2024,3612,-3513,1342,1478,76,393,1278,439,439,3674
3Q-2024,6255,-3783,2742,2167,86,601,1348,457,457,4665
4Q-2024,4814,-2783,2031,2317,96,434,1496,579,579,4922
```
