```
Time Period,FSD Miles on V12 and Beyond,FSD Miles on V11 and Before,Tesla vehicles using Autopilot technology,Tesla vehicles not using Autopilot technology,U.S. avg
Jun-2021,,0.0,0.0,0.0,0.0
Sep-2021,,0.0,0.0,0.0,0.0
Dec-2021,,0.0,0.0,0.0,0.0
Mar-2022,,0.0,0.0,0.0,0.0
Jun-2022,,0.0,0.0,0.0,0.0
Sep-2022,,0.0,0.0,0.0,0.0
Dec-2022,,0.0,0.0,0.0,0.0
Mar-2023,,0.0,0.0,0.0,0.0
Jun-2023,,0.0,0.0,0.0,0.0
Sep-2023,,0.0,0.0,0.0,0.0
Dec-2023,,0.0,0.0,0.0,0.0
Mar-2024,,0.0,0.0,0.0,0.0
Jun-2024,,0.0,0.0,0.0,0.0
Sep-2024,,0.0,0.0,0.0,0.0
Dec-2024,,0.0,0.0,0.0,0.0
Q4 2019,,,3.0,1.5,0.5
Q4 2020,,,3.8,1.2,0.5
Q4 2021,,,4.3,1.5,0.5
Q4 2022,,,4.8,1.4,0.5
Q4 2023,,,5.3,1.0,0.5
Q4 2024,,,5.9,1.0,0.5
```
