Q3 2019,US/Canada,Europe,China
Q4 2019,1%,0.5%,0.2%
Q1 2020,1.2%,0.8%,0.3%
Q2 2020,1.1%,0.8%,0.4%
Q3 2020,1.3%,0.9%,0.5%
Q4 2020,1.5%,1%,0.6%
Q1 2021,1.7%,1.1%,0.7%
Q2 2021,1.9%,1.2%,0.8%
Q3 2021,2.1%,1.3%,0.9%
Q4 2021,2.3%,1.4%,1%
Q1 2022,2.5%,1.5%,1.1%
Q2 2022,2.7%,1.6%,1.2%
Q3 2022,2.9%,1.7%,1.3%
Q4 2022,3.1%,1.8%,1.4%
Q1 2023,3.3%,1.9%,1.5%
Q2 2023,3.5%,2%,1.6%
Q3 2023,3.7%,2.1%,1.7%
Q4 2023,3.9%,2.2%,1.8%
Q1 2024,3.7%,2.3%,1.9%
Q2 2024,3.5%,2.4%,2%
Q3 2024,3.3%,2.5%,2.1%
Q4 2024,3.1%,2.6%,2.2%
Q1 2025,2.9%,2.7%,2.3%
Q2 2025,2.7%,2.8%,2.4%
