```csv
Time_Period,Operating_Cash_Flow_(\$B),Free_Cash_Flow_(\$B),Net_Income_(\$B),(2),Adjusted_EBITDA_(\$B),(2),(3)
2Q-2023,14,6,12,-,-,-,-
3Q-2023,13,4,11,-,-,-,-
4Q-2023,13,4,9,-,-,-,-
1Q-2024,11,2,8,-,-,-,-
2Q-2024,11,3,7,-,-,-,-
3Q-2024,14,3,6,-,-,-,-
4Q-2024,15,3,5,-,-,-,-
1Q-2025,17,7,14,-,-,-,-
2Q-2025,16,6,13,-,-,-,-
3Q-2025,15,7,12,-,-,-,-
4Q-2025,15,6,11,-,-,-,-
1Q-2026,16,7,10,-,-,-,-
2Q-2023,12,-,-,-,-,-,-
3Q-2023,11,-,-,-,-,-,-
4Q-2023,10,-,-,-,-,-,-
1Q-2024,9,-,-,-,-,-,-
2Q-2024,8,-,-,-,-,-,-
3Q-2024,7,-,-,-,-,-,-
4Q-2024,6,-,-,-,-,-,-
1Q-2025,5,-,-,-,-,-,-
2Q-2025,4,-,-,-,-,-,-
3Q-2025,4,-,-,-,-,-,-
4Q-2025,3,-,-,-,-,-,-
1Q-2026,2,-,-,-,-,-,-
```
